aX,aY,aZ,gX,gY,gZ
0.393,-0.546,0.948,45.105,4.089,89.783
0.357,-0.552,0.923,43.884,0.244,87.158
0.320,-0.564,0.906,41.199,-5.554,84.290
0.311,-0.582,0.909,37.048,-7.263,76.111
0.302,-0.606,0.918,31.616,-10.925,67.993
0.387,-0.618,0.921,23.071,-13.977,62.866
0.296,-0.665,0.879,13.611,-16.418,59.082
0.302,-0.686,0.837,7.690,-21.240,62.927
0.299,-0.711,0.833,6.897,-20.142,67.993
0.243,-0.720,0.810,8.057,-13.428,67.261
0.141,-0.706,0.817,9.033,-10.559,63.171
0.067,-0.670,0.844,5.066,-9.705,54.260
0.049,-0.650,0.858,-7.202,-12.756,41.504
0.047,-0.656,0.837,-28.198,-20.630,27.344
0.069,-0.681,0.807,-51.208,-28.503,17.639
0.074,-0.687,0.795,-70.007,-36.133,12.817
0.059,-0.681,0.789,-82.520,-41.748,9.644
0.024,-0.671,0.823,-88.989,-44.128,6.958
0.006,-0.655,0.851,-92.224,-44.556,4.822
-0.018,-0.633,0.881,-95.459,-42.236,3.479
-0.034,-0.615,0.901,-98.389,-41.016,2.747
-0.051,-0.613,0.879,-101.135,-38.330,2.075
-0.073,-0.623,0.844,-101.196,-31.189,0.122
-0.092,-0.645,0.819,-96.802,-22.034,0.732
-0.118,-0.677,0.822,-90.637,-13.428,0.427
-0.117,-0.694,0.822,-86.487,-6.287,-2.014
-0.100,-0.688,0.822,-84.839,-0.305,-4.883
-0.084,-0.678,0.817,-84.656,4.395,-5.005
-0.094,-0.649,0.802,-86.243,7.080,-2.625
-0.106,-0.608,0.784,-88.928,7.996,-1.160
-0.104,-0.543,0.765,-92.529,6.104,-0.610
-0.119,-0.504,0.748,-95.947,1.038,-0.122
-0.141,-0.479,0.727,-99.243,-5.981,0.488
-0.172,-0.440,0.715,-101.624,-11.658,0.061
-0.219,-0.409,0.724,-102.600,-14.771,-2.625
-0.245,-0.388,0.739,-102.722,-15.503,-9.094
-0.250,-0.361,0.749,-104.980,-13.977,-17.639
-0.242,-0.338,0.744,-107.910,-11.353,-24.658
-0.232,-0.302,0.725,-109.985,-8.545,-28.992
-0.228,-0.265,0.702,-110.352,-7.507,-30.457
-0.241,-0.223,0.688,-110.474,-8.423,-30.823
-0.262,-0.175,0.692,-110.168,-9.766,-32.898
-0.266,-0.127,0.714,-109.436,-10.254,-36.987
-0.269,-0.056,0.721,-111.145,-12.512,-42.908
-0.281,-0.012,0.734,-110.962,-13.611,-43.945
-0.302,0.013,0.759,-108.765,-14.648,-45.654
-0.330,0.021,0.783,-106.567,-12.268,-50.232
-0.343,0.027,0.788,-105.896,-5.554,-56.458
-0.334,0.023,0.769,-104.614,4.150,-63.782
-0.302,0.016,0.736,-101.807,16.724,-70.618
-0.261,0.006,0.689,-97.290,29.358,-75.378
-0.209,-0.007,0.636,-91.614,39.368,-78.064
-0.165,-0.010,0.597,-86.731,45.349,-79.346
-0.121,-0.023,0.560,-83.130,45.959,-79.773
-0.097,-0.035,0.529,-80.444,42.664,-79.529
-0.064,-0.038,0.496,-78.430,36.438,-77.576
-0.038,-0.043,0.464,-77.026,29.724,-75.073
-0.022,-0.055,0.432,-76.294,22.095,-73.425
-0.009,-0.058,0.406,-76.477,13.367,-73.364
-0.018,-0.056,0.405,-77.332,4.028,-75.256
-0.014,-0.076,0.424,-79.529,-4.639,-80.872
0.014,-0.098,0.422,-85.938,-11.780,-88.745
0.051,-0.122,0.380,-93.689,-16.357,-94.299
0.100,-0.135,0.315,-96.741,-16.785,-96.191
0.146,-0.133,0.245,-92.712,-14.465,-95.337
0.187,-0.116,0.193,-82.520,-10.498,-92.651
0.225,-0.105,0.165,-68.970,-4.883,-89.905
0.258,-0.097,0.148,-54.688,2.075,-88.074
0.301,-0.089,0.144,-41.992,6.592,-87.280
0.328,-0.074,0.144,-32.288,7.080,-86.853
0.377,-0.058,0.139,-27.527,4.456,-86.792
0.434,-0.042,0.129,-27.405,-3.174,-87.463
0.490,-0.040,0.125,-27.954,-15.686,-88.074
0.528,-0.048,0.132,-26.794,-29.236,-86.975
0.543,-0.074,0.155,-20.935,-38.391,-85.266
0.543,-0.091,0.189,-11.719,-40.283,-84.045
0.551,-0.091,0.217,-2.197,-35.889,-83.313
0.549,-0.088,0.224,6.165,-28.748,-82.031
0.580,-0.085,0.221,13.367,-21.545,-80.872
0.616,-0.081,0.212,19.165,-17.212,-80.017
0.645,-0.082,0.214,25.391,-16.296,-78.735
0.692,-0.108,0.239,33.081,-19.287,-77.942
0.740,-0.127,0.286,39.734,-25.696,-76.965
0.764,-0.164,0.334,44.678,-33.203,-74.646
0.780,-0.199,0.380,48.584,-38.147,-70.862
0.787,-0.203,0.425,51.208,-40.588,-67.322
0.790,-0.216,0.463,52.124,-42.786,-64.697
0.788,-0.211,0.491,50.354,-44.495,-62.134
0.800,-0.192,0.510,48.157,-45.532,-60.425
0.802,-0.184,0.515,46.997,-48.035,-58.594
0.788,-0.163,0.524,48.950,-50.415,-55.176
0.774,-0.145,0.542,55.420,-50.842,-51.697
0.767,-0.172,0.561,64.880,-49.011,-48.401
0.766,-0.189,0.597,74.829,-45.471,-44.617
0.774,-0.212,0.642,84.717,-40.283,-40.649
0.771,-0.255,0.675,93.323,-34.668,-36.987
0.773,-0.275,0.697,98.389,-28.931,-34.058
0.802,-0.288,0.739,99.304,-26.184,-32.043
0.834,-0.304,0.800,98.633,-29.602,-30.212
0.856,-0.335,0.865,97.168,-38.635,-28.381
0.877,-0.370,0.923,95.337,-48.584,-24.719
0.863,-0.389,0.982,92.896,-55.298,-19.653
0.867,-0.406,1.000,90.515,-57.739,-14.038
0.875,-0.424,0.987,90.698,-54.565,-8.850
0.879,-0.413,0.941,100.708,-37.354,2.136
0.849,-0.413,0.935,108.398,-33.142,8.728
0.825,-0.442,0.983,114.624,-35.828,12.878
0.799,-0.481,1.081,116.638,-46.265,15.808
0.769,-0.525,1.192,113.831,-63.171,16.907
0.721,-0.584,1.298,106.628,-82.764,17.517
0.683,-0.614,1.404,96.497,-97.778,19.775
0.631,-0.625,1.486,86.548,-106.262,24.963
0.576,-0.619,1.559,77.393,-107.483,31.372
0.519,-0.598,1.591,70.313,-102.234,38.818
0.527,-0.567,1.627,67.017,-94.910,44.922
0.260,-0.518,1.592,62.317,-97.290,40.833
0.245,-0.477,1.639,54.016,-81.177,49.255
0.180,-0.434,1.640,48.218,-60.547,57.861
0.076,-0.395,1.656,43.762,-58.655,59.021
0.059,-0.382,1.671,37.659,-60.242,57.007
0.028,-0.381,1.684,30.090,-60.730,54.016
-0.039,-0.381,1.655,20.325,-65.674,51.819
-0.026,-0.387,1.612,13.794,-54.871,54.382
-0.024,-0.374,1.566,11.292,-39.490,55.481
-0.021,-0.360,1.495,10.864,-25.879,57.495
-0.018,-0.349,1.401,10.498,-14.771,60.547
-0.010,-0.332,1.296,10.742,-4.211,63.721
-0.044,-0.303,1.228,12.817,3.479,67.200
-0.106,-0.274,1.185,16.357,2.808,69.763
-0.127,-0.262,1.193,18.372,-5.859,68.787
-0.156,-0.286,1.230,16.724,-19.104,63.049
-0.177,-0.311,1.260,12.207,-29.602,56.274
-0.177,-0.337,1.273,7.996,-33.142,51.025
-0.169,-0.349,1.263,5.249,-30.029,47.729
-0.148,-0.351,1.237,3.723,-21.301,47.424
-0.136,-0.337,1.201,3.296,-10.620,49.500
-0.136,-0.317,1.161,4.272,-1.526,51.086
-0.137,-0.291,1.120,4.761,4.944,50.293
-0.134,-0.274,1.082,4.089,8.240,47.485
-0.133,-0.270,1.052,2.869,7.812,43.579
-0.126,-0.276,1.030,1.160,4.761,38.391
-0.109,-0.286,1.019,-1.831,0.488,32.654
-0.093,-0.299,1.015,-6.348,-4.150,27.222
