aX,aY,aZ,gX,gY,gZ
-0.132,0.085,0.873,12.390,10.620,-7.202
-0.117,0.020,0.931,4.211,5.493,-9.583
-0.110,-0.034,0.970,-4.883,1.770,-10.376
-0.112,-0.065,1.042,-8.301,0.244,-9.766
-0.108,-0.090,1.041,-6.409,2.930,-8.179
-0.097,-0.073,1.003,-1.038,7.507,-5.615
-0.103,-0.051,0.994,4.150,9.766,-2.808
-0.093,-0.034,0.960,9.155,11.169,-0.732
-0.088,-0.004,0.954,14.465,11.108,0.854
-0.081,-0.004,0.919,16.174,10.315,1.831
-0.077,-0.005,0.933,15.381,7.629,2.686
-0.908,1.321,1.199,59.631,-91.736,-9.094
-1.313,1.742,0.204,70.435,-71.655,-15.320
-1.439,1.776,1.226,83.191,-120.605,-45.349
-1.434,1.768,1.605,81.604,-107.361,-74.829
-1.400,1.616,1.699,84.106,-80.994,-107.178
-1.383,1.314,1.889,83.557,-73.242,-138.977
-1.284,0.688,2.109,84.351,-63.171,-166.138
-1.074,0.394,1.715,86.426,-33.997,-183.167
-0.570,-0.220,1.923,116.089,-35.645,-198.181
-0.282,-0.130,2.164,35.950,-7.996,-193.970
-0.365,-0.317,2.105,27.283,19.958,-193.726
-0.139,-0.414,1.620,4.211,71.350,-202.698
0.059,-0.651,1.644,-27.954,60.791,-205.383
0.056,-1.069,1.966,-24.658,41.626,-207.397
0.106,-1.313,3.001,-33.203,36.621,-200.256
0.213,-1.495,2.256,-60.974,95.947,-182.861
0.166,-1.568,2.171,-58.167,113.281,-167.480
0.271,-1.758,2.478,-53.345,92.529,-152.222
0.266,-1.933,2.413,-84.473,97.961,-133.057
0.201,-1.976,2.609,-109.314,99.487,-113.220
0.128,-2.062,2.751,-113.281,106.140,-92.834
-0.017,-2.078,2.709,-113.159,124.939,-71.106
-0.049,-2.176,2.532,-101.868,146.301,-50.293
-0.130,-2.086,2.448,-91.003,160.400,-27.893
-0.260,-1.908,2.309,-79.468,174.683,-7.507
-0.291,-1.775,2.052,-76.477,187.805,10.742
-0.258,-1.670,1.840,-79.834,199.036,25.452
-0.289,-1.593,1.674,-82.336,205.566,39.856
-0.316,-1.546,1.336,-85.205,215.210,55.298
-0.343,-1.452,0.969,-84.045,223.083,71.045
-0.374,-1.295,0.664,-79.895,224.060,85.938
-0.406,-1.192,0.427,-73.792,219.849,99.609
-0.420,-1.175,0.262,-66.711,212.585,113.892
-0.456,-1.113,0.099,-55.786,205.811,130.676
-0.476,-0.994,-0.139,-37.415,200.317,148.315
-0.488,-0.847,-0.320,-14.526,192.017,164.734
-0.479,-0.783,-0.392,5.737,180.908,179.810
-0.478,-0.712,-0.455,23.621,170.959,194.763
-0.501,-0.535,-0.613,42.603,164.368,209.717
-0.511,-0.333,-0.852,58.228,154.785,221.313
-0.492,-0.234,-0.984,66.467,136.597,228.455
-0.498,-0.141,-1.044,66.589,113.464,233.215
-0.545,0.012,-1.134,62.744,90.393,236.206
-0.586,0.105,-1.178,53.833,65.857,235.718
-0.657,0.231,-1.247,42.114,41.016,231.628
-0.716,0.278,-1.349,33.142,19.409,226.379
-0.756,0.320,-1.362,25.208,-2.625,221.069
-0.772,0.310,-1.428,22.583,-22.217,215.698
-0.793,0.321,-1.473,23.499,-41.748,212.646
-0.888,0.384,-1.442,29.297,-64.209,210.815
-1.000,0.462,-1.170,37.537,-88.257,208.923
-1.135,0.652,-0.818,43.518,-109.070,205.505
-1.249,0.867,-0.597,45.837,-121.826,197.632
-1.299,0.965,-0.387,45.776,-132.935,183.472
-1.331,1.024,-0.107,38.574,-144.775,166.687
-1.351,1.104,0.204,31.921,-152.954,150.940
-1.349,1.153,0.392,35.156,-152.710,135.742
-1.331,1.231,0.507,48.645,-147.827,120.361
-1.308,1.266,0.774,66.589,-146.057,104.309
-1.272,1.319,1.073,82.031,-142.090,89.905
-1.227,1.419,1.211,99.365,-130.493,75.684
-1.212,1.528,1.373,117.432,-119.507,59.082
-1.197,1.597,1.649,122.559,-111.755,39.795
-1.170,1.639,1.897,121.277,-99.731,18.311
-1.103,1.607,1.956,120.605,-81.299,-5.310
-0.992,1.422,1.944,116.821,-61.462,-29.175
-0.883,1.292,1.885,111.877,-45.776,-50.720
-0.774,1.157,1.791,112.305,-33.264,-68.970
-0.671,0.963,1.622,113.708,-24.719,-83.008
-0.649,0.828,1.490,117.737,-24.231,-94.421
-0.506,0.589,1.575,118.774,-19.043,-107.483
-0.412,0.379,1.499,123.596,-9.644,-116.272
-0.356,0.241,1.555,125.854,-6.531,-120.850
-0.282,0.101,1.560,117.249,-2.808,-125.183
-0.188,-0.021,1.489,103.821,1.160,-127.991
-0.188,-0.097,1.477,87.769,-0.122,-127.930
-0.137,-0.160,1.476,68.237,-1.770,-126.648
-0.481,-0.370,1.884,50.537,-1.282,-125.793
-0.117,-0.103,0.927,30.334,26.794,-123.718
-0.039,-0.285,1.183,48.035,2.502,-123.596
0.149,-0.371,1.394,46.692,-14.832,-122.009
0.183,-0.393,1.361,34.485,-11.414,-111.877
0.156,-0.417,1.287,42.725,-4.456,-101.990
0.159,-0.469,1.624,44.922,-2.441,-92.773
0.046,-0.471,1.170,36.865,0.732,-84.534
0.115,-0.468,1.595,31.494,-18.250,-78.735
0.027,-0.427,1.764,41.199,-34.119,-76.843
0.174,-0.631,2.285,24.231,-25.269,-68.726
-0.091,-0.345,1.225,-7.324,30.396,-50.049
0.187,-0.470,1.315,18.982,30.212,-44.128
0.182,-0.356,1.067,28.564,21.240,-39.978
0.151,-0.326,1.233,20.935,7.324,-34.241
0.134,-0.317,1.232,19.165,8.057,-28.870
0.091,-0.269,1.174,11.230,10.193,-23.315
0.069,-0.236,1.191,7.202,7.935,-19.348
0.034,-0.172,1.162,6.042,6.897,-15.869
-0.002,-0.120,1.121,3.662,8.667,-13.794
-0.001,-0.132,1.080,-3.296,9.705,-13.184
-0.010,-0.115,1.039,-6.042,9.583,-12.085
-0.014,-0.097,0.994,-8.972,9.644,-10.315
-0.010,-0.085,0.949,-12.085,9.033,-8.545
-0.013,-0.074,0.990,-11.963,6.836,-6.348
-0.013,-0.068,0.962,-8.423,7.812,-3.906
-0.018,-0.045,0.903,-4.822,10.986,-1.526
