aX,aY,aZ,gX,gY,gZ
0.271,2.646,0.807,-67.078,-124.451,104.309
-0.479,2.563,0.844,-85.754,-162.903,61.401
-1.286,2.340,0.910,-90.759,-185.730,6.592
-2.028,1.936,0.927,-80.933,-181.702,-57.617
-2.657,1.272,0.803,-62.561,-152.710,-123.962
-3.151,0.479,0.565,-44.006,-113.953,-180.969
-3.489,-0.513,0.062,-27.466,-72.815,-224.304
-3.659,-1.546,-0.410,1.831,-26.855,-262.817
-3.583,-2.801,-0.708,48.096,-3.357,-304.260
-3.515,-4.000,-0.787,97.961,-1.770,-340.393
-3.251,-4.000,-0.542,141.052,-13.306,-369.568
-2.450,-4.000,0.054,169.861,-13.855,-391.296
-1.063,-4.000,0.650,182.922,24.658,-367.065
0.369,-4.000,0.795,179.504,115.540,-271.790
1.441,-4.000,0.453,170.044,227.844,-123.047
1.682,-4.000,-0.155,149.109,307.983,53.894
0.971,-4.000,-0.889,95.459,306.946,217.896
-0.235,-3.212,-1.292,14.099,203.308,308.289
-1.190,-2.512,-1.132,-61.890,36.621,307.129
-1.755,-2.129,-0.682,-113.403,-113.647,260.315
-2.050,-1.855,-0.288,-136.841,-190.796,220.642
-2.226,-1.592,-0.058,-130.188,-188.293,204.468
-2.205,-1.374,0.049,-96.680,-139.648,201.538
-2.068,-1.169,0.102,-54.077,-84.900,200.562
-1.887,-0.919,0.089,-21.423,-44.067,196.777
-1.650,-0.675,0.048,-5.737,-23.315,182.617
-1.404,-0.428,0.059,-3.479,-25.269,159.790
-1.179,-0.178,0.134,-7.385,-40.466,133.118
-0.935,0.089,0.267,-11.780,-54.871,105.774
-0.659,0.368,0.424,-11.536,-57.312,81.787
-0.462,0.684,0.558,-5.981,-46.936,64.758
-0.268,1.004,0.672,4.028,-29.175,48.950
-0.021,1.253,0.760,17.273,-13.733,28.931
0.226,1.367,0.887,32.532,-5.066,8.301
0.424,1.436,1.103,49.194,-0.244,-5.005
0.591,1.480,1.357,62.317,7.751,-11.047
0.640,1.424,1.510,65.552,21.362,-12.878
0.621,1.317,1.564,62.927,35.461,-12.024
0.603,1.179,1.521,57.922,48.279,-13.428
0.570,1.049,1.500,52.307,53.894,-17.578
0.532,0.934,1.505,47.729,49.072,-23.621
0.539,0.787,1.507,43.762,40.649,-32.837
0.545,0.581,1.547,41.382,31.189,-40.283
0.567,0.330,1.622,41.626,24.170,-42.053
0.610,0.104,1.695,41.321,22.766,-38.147
0.624,-0.058,1.715,36.926,25.818,-29.358
0.640,-0.178,1.690,28.748,28.503,-21.240
0.670,-0.304,1.601,17.456,26.855,-16.602
0.613,-0.397,1.484,4.089,19.409,-15.564
0.573,-0.459,1.498,-9.766,7.080,-17.700
0.481,-0.553,1.371,-22.156,-8.850,-16.418
0.452,-0.576,1.295,-28.809,-5.615,-17.334
0.432,-0.599,1.211,-32.410,-5.615,-12.451
0.408,-0.614,1.128,-28.748,-2.197,-8.484
0.400,-0.597,1.071,-25.269,1.038,-4.272
0.385,-0.568,1.018,-25.146,1.099,-0.488
0.357,-0.539,0.962,-27.588,-1.587,2.930
0.318,-0.502,0.906,-30.640,-3.723,6.226
0.269,-0.471,0.869,-32.227,-5.127,9.338
0.211,-0.432,0.847,-31.677,-4.517,13.184
0.157,-0.386,0.828,-29.236,-2.258,16.174
0.118,-0.347,0.813,-25.269,0.183,16.663
0.100,-0.332,0.807,-20.569,1.404,15.198
0.098,-0.333,0.817,-17.090,0.732,13.000
0.103,-0.340,0.832,-15.991,-0.916,10.681
0.110,-0.342,0.841,-16.602,-2.258,9.827
0.115,-0.325,0.843,-17.456,-2.136,10.498
0.104,-0.291,0.834,-17.761,-1.343,12.390
0.085,-0.255,0.816,-17.029,-0.061,13.794
0.079,-0.228,0.804,-14.282,0.793,13.794
0.076,-0.208,0.796,-10.620,1.526,12.939
0.075,-0.198,0.791,-5.920,2.258,11.230
0.085,-0.202,0.791,-0.793,2.197,9.583
0.092,-0.210,0.800,3.845,2.319,8.606
0.094,-0.221,0.818,7.629,2.625,7.935
0.108,-0.243,0.836,9.888,2.075,6.653
