aX,aY,aZ,gX,gY,gZ
0.107,0.140,0.536,180.542,115.967,28.564
0.107,0.249,0.366,178.650,123.535,28.748
0.124,0.335,0.240,169.800,129.395,27.466
0.128,0.382,0.111,150.146,131.104,29.724
0.136,0.386,-0.027,123.962,130.981,32.166
0.138,0.326,-0.110,100.037,124.634,32.288
0.122,0.271,-0.131,79.041,109.314,33.142
0.144,0.244,-0.053,62.012,90.698,35.950
0.122,0.209,-0.023,54.749,78.308,36.743
0.100,0.216,-0.067,59.814,76.904,32.288
0.118,0.226,-0.140,69.763,78.613,29.358
0.120,0.261,-0.229,78.552,74.707,26.489
0.095,0.320,-0.357,82.886,67.749,21.851
0.115,0.388,-0.439,78.491,59.082,16.174
0.158,0.402,-0.442,68.542,49.072,9.521
0.158,0.352,-0.415,58.533,40.588,1.038
0.134,0.261,-0.402,47.119,35.706,-6.897
0.104,0.184,-0.411,33.264,33.386,-11.963
0.076,0.133,-0.447,20.447,32.776,-15.015
0.079,0.079,-0.494,9.705,30.396,-16.724
0.072,0.038,-0.518,-0.061,22.827,-17.090
0.079,0.004,-0.547,-11.169,12.329,-17.944
0.084,-0.043,-0.578,-22.156,0.916,-18.921
0.092,-0.095,-0.578,-30.823,-11.902,-19.165
